isolate	year
2038|OXC5875	2011
2039|OXC5876	2011
2040|OXC5877	2011
2041|OXC5878	2011
2042|OXC5879	2011
2043|OXC5880	2011
2044|OXC5882	2011
2045|OXC5883	2011
2046|OXC5884	2011
2047|OXC5398	2010
2048|OXC5400	2010
2049|OXC5404	2010
2050|OXC5405	2010
2051|OXC5406	2010
2052|OXC5407	2010
2053|OXC5410	2010
2054|OXC5411	2010
2055|OXC5412	2010
2056|OXC5413	2010
2057|OXC5414	2010
2058|OXC5416	2010
2059|OXC5417	2010
2060|OXC5418	2010
2062|OXC5421	2010
2063|OXC5422	2010
2064|OXC5426	2010
2065|OXC5427	2010
2066|OXC5428	2010
2068|OXC5433	2010
2069|OXC5434	2010
2070|OXC5435	2010
2071|OXC5437	2010
2072|OXC5438	2010
2073|OXC5439	2010
2076|OXC5443	2010
2077|OXC5444	2010
2078|OXC5445	2010
2080|OXC5452	2010
2081|OXC5454	2010
2082|OXC5455	2010
2083|OXC5456	2010
2084|OXC5457	2010
2085|OXC5459	2010
2086|OXC5460	2010
2087|OXC5462	2010
2088|OXC5463	2010
2089|OXC5464	2010
2090|OXC5465	2010
2091|OXC5466	2010
2092|OXC5470	2010
2093|OXC5472	2010
2095|OXC5721	2010
2097|OXC5724	2010
2098|OXC5725	2010
2099|OXC5726	2010
2101|OXC5728	2010
2102|OXC5731	2010
2103|OXC5732	2010
2104|OXC5733	2010
2105|OXC5734	2010
2106|OXC5737	2010
2107|OXC5739	2010
2108|OXC5740	2010
2109|OXC5741	2010
2111|OXC5743	2010
2112|OXC5744	2010
2113|OXC5745	2010
2114|OXC5747	2010
2115|OXC5748	2010
2116|OXC5750	2010
2117|OXC5751	2010
2118|OXC5753	2010
2119|OXC5754	2010
2120|OXC5757	2010
2121|OXC5758	2010
2122|OXC5759	2010
2123|OXC5761	2010
2124|OXC5762	2010
2126|OXC5764	2010
2127|OXC5765	2010
2128|OXC5766	2010
2129|OXC5767	2010
2131|OXC5769	2010
2132|OXC5771	2010
2133|OXC5772	2010
2135|OXC5774	2010
2136|OXC5775	2010
2137|OXC5776	2010
2138|OXC5777	2011
2139|OXC5778	2011
2140|OXC5779	2011
2141|OXC5780	2011
2142|OXC5781	2011
2143|OXC5788	2011
2144|OXC5789	2011
2145|OXC5791	2011
2146|OXC5792	2011
2148|OXC5794	2011
2151|OXC5797	2011
2152|OXC5798	2011
2153|OXC5799	2011
2154|OXC5800	2011
2155|OXC5801	2011
2156|OXC5802	2011
2157|OXC5803	2011
2168|OXC5804	2011
2169|OXC5805	2011
2170|OXC5807	2011
2171|OXC5808	2011
2172|OXC5809	2011
2174|OXC5811	2011
2175|OXC5812	2011
2176|OXC5813	2011
2177|OXC5814	2011
2178|OXC5815	2011
2179|OXC5816	2011
2180|OXC5817	2011
2182|OXC5819	2011
